ID,Nombre,Descripción,Precio (€),Stock,Categoría
1,Auriculares Bluetooth ProSound X1,Auriculares inalámbricos con cancelación de ruido activa y 30h de batería,89.99,15,Audio
2,Auriculares Gaming RGB,Auriculares con micrófono retráctil y sonido envolvente 7.1 por USB,59.99,8,Gaming
3,Altavoz Portátil WaveBox,Altavoz Bluetooth resistente al agua IPX7 con 12h de batería,49.99,0,Audio
4,Teclado Mecánico TactilePro,Teclado mecánico switches azules con retroiluminación y formato TKL,74.99,22,Periféricos
5,Ratón Ergonómico ErgoClick,Ratón vertical inalámbrico con DPI ajustable y compatibilidad Mac/PC,39.99,5,Periféricos
6,Hub USB-C 7en1,Adaptador con HDMI 4K / 3x USB-A / SD card / ethernet y carga 100W,34.99,12,Conectividad
7,Cámara Webcam 4K StreamPro,Webcam 4K con micrófono integrado y corrección de luz automática,109.99,0,Imagen
8,Soporte Monitor Articulado,Brazo articulado para monitores de 17 a 32 pulgadas compatible VESA,44.99,7,Accesorios
9,Cable USB-C Trenzado 2m,Cable de carga rápida 100W y datos 10Gbps con nylon trenzado,14.99,50,Conectividad
10,Alfombrilla XL DeskMate,Alfombrilla de escritorio de 80x40cm con base antideslizante,24.99,18,Accesorios
